Name,Major SN,Major Code,SubType Name,Sub Code
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 16,16
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 18,18
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 20,20
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 22,22
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 24,24
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 26,26
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 28,28
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 30,30
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 32,32
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 34,34
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 36,36
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 38,38
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 40,40
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 42,42
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 44,44
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 46,46
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 48,48
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 50,50
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 52,52
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 54,54
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 56,56
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 58,58
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 60,60
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 62,62
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 64,64
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 66,66
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 68,68
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 70,70
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 72,72
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 74,74
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 76,76
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 78,78
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 80,80
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 82,82
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 84,84
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 86,86
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 88,88
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 90,90
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 92,92
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 94,94
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 96,96
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 98,98
Wrapped Cast Machined Tile,22,TC,BH/LD Tile Size 99,99
Wrapped Cast Machined Tile,22,TC,FH/HD Tile Size 1,F1
Wrapped Cast Machined Tile,22,TC,FH/HD Tile Size 2,F2
Wrapped Cast Machined Tile,22,TC,FH/HD Tile Size 3,F3
Wrapped Cast Machined Tile,22,TC,FH/HD Tile Size 4,F4
Wrapped Cast Machined Tile,22,TC,FH/HD Tile Size 5,F5
Wrapped Cast Machined Tile,22,TC,FH/HD Tile Size 6,F6
Wrapped Cast Machined Tile,22,TC,FH/HD Tile Size 7,F7
Wrapped Cast Machined Tile,22,TC,Special Tile Size 1,S1
