LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,NAME_LABEL,LOCATION,INSTITUTION,MANUFACTURER,PRODUCTION_DATE,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],COMMENT_DESCRIPTION,ATTRIBUTE-NAME[0],ATTRIBUTE-VALUE[0]
IC-LPG,ACAFEDDD,ACAFEDDD,LPGBT E 0xACAFEDDD,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000940,E LPGBT for 320EL10W1010093,lpGBT Location LD Engine,TRIG-E
IC-LPG,A4AECE91,A4AECE91,LPGBT W 0xA4AECE91,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000941,W LPGBT for 320EL10W1010093,lpGBT Location LD Engine,TRIG-W
IC-LPG,04A85B08,04A85B08,LPGBT DAQ 0x04A85B08,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000942,DAQ LPGBT for 320EL10W1010094,lpGBT Location LD Engine,DAQ
IC-LPG,04AB1F83,04AB1F83,LPGBT E 0x04AB1F83,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000943,E LPGBT for 320EL10W1010094,lpGBT Location LD Engine,TRIG-E
IC-LPG,64AB8523,64AB8523,LPGBT W 0x64AB8523,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000944,W LPGBT for 320EL10W1010094,lpGBT Location LD Engine,TRIG-W
IC-LPG,C4AB57F4,C4AB57F4,LPGBT DAQ 0xC4AB57F4,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000945,DAQ LPGBT for 320EL10W1010095,lpGBT Location LD Engine,DAQ
IC-LPG,C4ADE57C,C4ADE57C,LPGBT E 0xC4ADE57C,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000946,E LPGBT for 320EL10W1010095,lpGBT Location LD Engine,TRIG-E
IC-LPG,642A8AC4,642A8AC4,LPGBT W 0x642A8AC4,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000947,W LPGBT for 320EL10W1010095,lpGBT Location LD Engine,TRIG-W
IC-LPG,442BA535,442BA535,LPGBT DAQ 0x442BA535,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000948,DAQ LPGBT for 320EL10W1010096,lpGBT Location LD Engine,DAQ
IC-LPG,2CAB0B83,2CAB0B83,LPGBT E 0x2CAB0B83,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000949,E LPGBT for 320EL10W1010096,lpGBT Location LD Engine,TRIG-E
