Label ID,Full Label,Type Code,SN,Major Type ID,Sub Type ID,Time
2201,320CBTXA2000004,XXXXXX,000004,1,1,2024-03-14 09:35:27
2202,320CBTXA2000005,XXXXXX,000005,1,1,2024-03-14 09:35:27
2203,320CBTXA2000006,XXXXXX,000006,1,1,2024-03-14 09:35:27
2204,320CBTXA2000007,XXXXXX,000007,1,1,2024-03-14 09:35:27
2205,320CBTXA2000001,XXXXXX,000001,1,1,2024-03-14 09:35:27
2206,320CBTXA2000002,XXXXXX,000002,1,1,2024-03-14 09:35:28
2207,320CBTXA2000003,XXXXXX,000003,1,1,2024-03-14 09:35:28
2208,320CBTXD2000047,XXXXXX,000047,1,1,2024-03-14 09:35:28
2209,320CBTXA2000008,XXXXXX,000008,1,1,2024-03-14 09:35:28
2210,320CBTXA2000009,XXXXXX,000009,1,1,2024-03-14 09:35:28
2211,320CBTXD2000049,XXXXXX,000049,1,1,2024-03-14 09:35:28
2212,320CBTXD2000048,XXXXXX,000048,1,1,2024-03-14 09:35:28
2213,320CBTXD2000043,XXXXXX,000043,1,1,2024-03-14 09:35:28
2214,320CBTXD2000042,XXXXXX,000042,1,1,2024-03-14 09:35:28
2215,320CBTXD2000041,XXXXXX,000041,1,1,2024-03-14 09:35:28
2216,320CBTXD2000040,XXXXXX,000040,1,1,2024-03-14 09:35:28
2217,320EL0300000042,EL0300,000042,24,982,2024-03-14 09:35:28
2218,320CBTXD2000046,XXXXXX,000046,1,1,2024-03-14 09:35:28
2219,320EL0300000040,EL0300,000040,24,982,2024-03-14 09:35:28
2220,320EL0300000041,EL0300,000041,24,982,2024-03-14 09:35:28
2221,320TC9910160008,TC99,10160008,2,82,2024-03-14 09:35:28
2222,320TC9910160001,TC99,10160001,2,82,2024-03-14 09:35:28
2223,320TC9910160003,TC99,10160003,2,82,2024-03-14 09:35:28
2224,320TC9910160002,TC99,10160002,2,82,2024-03-14 09:35:28
2225,320TC9910160005,TC99,10160005,2,82,2024-03-14 09:35:28
2226,320TC9910160004,TC99,10160004,2,82,2024-03-14 09:35:28
2227,320TC9910160007,TC99,10160007,2,82,2024-03-14 09:35:28
2228,320TC9910160006,TC99,10160006,2,82,2024-03-14 09:35:28
2229,320CBTXC2000042,XXXXXX,000042,1,1,2024-03-14 09:35:28
2230,320CBTXC2000043,XXXXXX,000043,1,1,2024-03-14 09:35:28
2231,320CBTXC2000040,XXXXXX,000040,1,1,2024-03-14 09:35:28
2232,320CBTXC2000041,XXXXXX,000041,1,1,2024-03-14 09:35:28
2233,320CBTXC2000046,XXXXXX,000046,1,1,2024-03-14 09:35:28
2234,320CBTXC2000047,XXXXXX,000047,1,1,2024-03-14 09:35:28
2235,320CBTXC2000044,XXXXXX,000044,1,1,2024-03-14 09:35:28
2236,320CBTXC2000045,XXXXXX,000045,1,1,2024-03-14 09:35:28
2237,320CBTXC2000048,XXXXXX,000048,1,1,2024-03-14 09:35:28
2238,320CBTXC2000049,XXXXXX,000049,1,1,2024-03-14 09:35:28
2239,320TC9910030014,TC99,10030014,2,82,2024-03-14 09:35:28
2240,320TC9910030015,TC99,10030015,2,82,2024-03-14 09:35:28
2241,320TC9910030016,TC99,10030016,2,82,2024-03-14 09:35:28
2242,320TC9910030010,TC99,10030010,2,82,2024-03-14 09:35:28
2243,320TC9910030011,TC99,10030011,2,82,2024-03-14 09:35:28
2244,320TC9910030012,TC99,10030012,2,82,2024-03-14 09:35:28
2245,320TC9910030013,TC99,10030013,2,82,2024-03-14 09:35:28
2246,320EL0310000013,EL0310,000013,24,980,2024-03-14 09:35:28
2247,320MLMLF3WXSBX0,XXXXXX,WXSBX000,1,1,2024-03-14 09:35:28
2248,320TI9910010001,TI99,10010001,19,82,2024-03-14 09:35:28
2256,320CBTXA2000026,XXXXXX,000026,1,1,2024-03-14 09:35:28
2257,320CBTXA2000024,XXXXXX,000024,1,1,2024-03-14 09:35:28
2258,320BC9910110016,BC99,10110016,6,82,2024-03-14 09:35:28
2259,320BC9910110015,BC99,10110015,6,82,2024-03-14 09:35:28
2260,320CBTXA2000025,XXXXXX,000025,1,1,2024-03-14 09:35:28
2261,320BC9910110013,BC99,10110013,6,82,2024-03-14 09:35:28
2262,320BC9910110012,BC99,10110012,6,82,2024-03-14 09:35:29
2263,320BC9910110011,BC99,10110011,6,82,2024-03-14 09:35:29
2264,320BC9910110010,BC99,10110010,6,82,2024-03-14 09:35:29
2265,320CBTXA2000022,XXXXXX,000022,1,1,2024-03-14 09:35:29
2266,320CBTXA2000021,XXXXXX,000021,1,1,2024-03-14 09:35:29
2267,320MLF3WSBX0010,MLF3W,SBX0010,7,364,2024-03-14 09:35:29
